Sp. Def,Sp. Atk,Legendary,Generation,Total,Name,Entry,Attack,HP,Speed,Defense,Type 2,Type 1,#
60,35,False,3,300,Beldum,"Instead of blood, magnetism flows through its
body. When it’s feeling bad, try giving it
a magnet.",55,40,30,80,Psychic,Steel,374
80,55,False,3,420,Metang,"With its two brains, it fires powerful psychic
energy to stop its prey in their tracks.",75,60,50,100,Psychic,Steel,375
90,95,False,3,600,Metagross,"It boasts not only psychic powers but also
fantastic strength. It grabs its prey with its four
legs and holds them in place with its claws.",135,80,70,130,Psychic,Steel,376
100,50,True,3,580,Regirock,"Regirock’s body is composed entirely of rocks. Recently,
a study made the startling discovery that the rocks were all
unearthed from different locations.",100,80,50,200,,Rock,377
200,100,True,3,580,Regice,"Regice cloaks itself with frigid air of -328 degrees Fahrenheit.
Things will freeze solid just by going near this Pokémon.
Its icy body is so cold, it will not melt even if it is immersed
in magma.",50,80,50,100,,Ice,378
150,75,True,3,580,Registeel,"Registeel was imprisoned by people in ancient times.
The metal composing its body is thought to be a curious
substance that is not of this earth.",75,80,50,150,,Steel,379
130,110,True,3,600,Latias,"Latias is highly intelligent and capable of understanding
human speech. It is covered with a glass-like down.
The Pokémon enfolds its body with its down and refracts
light to alter its appearance.",80,80,110,90,Psychic,Dragon,380
110,130,True,3,600,Latios,"Latios will only open its heart to a Trainer with a
compassionate spirit. This Pokémon can fly faster than a
jet plane by folding its forelegs to minimize air resistance.",90,80,110,80,Psychic,Dragon,381
140,150,True,3,670,Kyogre,"Kyogre is said to be the personification of the sea itself.
Legends tell of its many clashes against Groudon,
as each sought to gain the power of nature.",100,100,90,90,,Water,382
90,100,True,3,670,Groudon,"Through Primal Reversion and with nature’s full power,
it will take back its true form. It can cause magma to
erupt and expand the landmass of the world.",150,100,90,140,,Ground,383
90,150,True,3,680,Rayquaza,"It flies forever through the ozone layer, consuming
meteoroids for sustenance. The many meteoroids
in its body provide the energy it needs to Mega Evolve.",150,105,95,90,Flying,Dragon,384
100,100,True,3,600,Jirachi,"Jirachi will awaken from its sleep of a thousand years if you
sing to it in a voice of purity. It is said to make true any wish
that people desire.",100,100,100,100,Psychic,Steel,385
50,150,True,3,600,DeoxysNormal Forme,"Deoxys emerged from a virus that came from space. It is highly
intelligent and wields psychokinetic powers. This Pokémon
shoots lasers from the crystalline organ on its chest.",150,50,150,50,,Psychic,386
55,45,False,4,318,Turtwig,"It undertakes photosynthesis with its body, making
oxygen. The leaf on its head wilts if it is thirsty.",68,55,31,64,,Grass,387
65,55,False,4,405,Grotle,"It knows where pure water wells up. It carries fellow
Pokémon there on its back.",89,75,36,85,,Grass,388
85,75,False,4,525,Torterra,"Small Pokémon occasionally gather on its unmoving
back to begin building their nests.",109,95,56,105,Ground,Grass,389
44,58,False,4,309,Chimchar,"The gas made in its belly burns from its rear end.
The fire burns weakly when it feels sick.",58,44,61,44,,Fire,390
52,78,False,4,405,Monferno,"It uses ceilings and walls to launch aerial attacks.
Its fiery tail is but one weapon.",78,64,81,52,Fighting,Fire,391
71,104,False,4,534,Infernape,"It tosses its enemies around with agility. It uses all
its limbs to fight in its own unique style.",104,76,108,71,Fighting,Fire,392
56,61,False,4,314,Piplup,"Because it is very proud, it hates accepting food
from people. Its thick down guards it from cold.",51,53,40,53,,Water,393
76,81,False,4,405,Prinplup,"It lives a solitary life. Its wings deliver wicked blows
that can snap even the thickest of trees.",66,64,50,68,,Water,394
101,111,False,4,530,Empoleon,"The three horns that extend from its beak attest to
its power. The leader has the biggest horns.",86,84,60,88,Steel,Water,395
30,30,False,4,245,Starly,"They flock around mountains and fields, chasing
after bug Pokémon. Their singing is noisy
and annoying.",55,40,60,30,Flying,Normal,396
40,40,False,4,340,Staravia,"It lives in forests and fields. Squabbles over
territory occur when flocks collide.",75,55,80,50,Flying,Normal,397
60,50,False,4,485,Staraptor,"When Staravia evolve into Staraptor, they leave the
flock to live alone. They have sturdy wings.",120,85,100,70,Flying,Normal,398
40,35,False,4,250,Bidoof,"It constantly gnaws on logs and rocks to whittle
down its front teeth. It nests alongside water.",45,59,31,40,,Normal,399
60,55,False,4,410,Bibarel,"It makes its nest by damming streams with bark and
mud. It is known as an industrious worker.",85,79,71,60,Water,Normal,400
41,25,False,4,194,Kricketot,"When its antennae hit each other, it sounds like the
music of a xylophone.",25,37,25,41,,Bug,401
51,55,False,4,384,Kricketune,"It signals its emotions with its melodies. Scientists
are studying these melodic patterns.",85,77,65,51,,Bug,402
34,40,False,4,263,Shinx,"All of its fur dazzles if danger is sensed. It flees
while the foe is momentarily blinded.",65,45,45,34,,Electric,403
49,60,False,4,363,Luxio,"Strong electricity courses through the tips of its
sharp claws. A light scratch causes fainting in foes.",85,60,60,49,,Electric,404
79,95,False,4,523,Luxray,"Luxray’s ability to see through objects comes in
handy when it’s scouting for danger.",120,80,70,79,,Electric,405
70,50,False,4,280,Budew,"Over the winter, it closes its bud and endures the
cold. In spring, the bud opens and releases pollen.",30,40,55,35,Poison,Grass,406
105,125,False,4,515,Roserade,"With the movements of a dancer, it strikes with
whips that are densely lined with poison thorns.",70,60,90,65,Poison,Grass,407
30,30,False,4,350,Cranidos,"A primeval Pokémon, it possesses a hard and
sturdy skull, lacking any intelligence within.",125,67,58,40,,Rock,408
50,65,False,4,495,Rampardos,"In ancient times, people would dig up fossils of
this Pokémon and use its skull, which is harder
than steel, to make helmets.",165,97,58,60,,Rock,409
88,42,False,4,350,Shieldon,"A mild-mannered, herbivorous Pokémon, it used
its face to dig up tree roots to eat. The skin on
its face was plenty tough.",42,30,30,118,Steel,Rock,410
138,47,False,4,495,Bastiodon,"The bones of its face are huge and hard, so
they were mistaken for its spine until after this
Pokémon was successfully restored.",52,60,30,168,Steel,Rock,411
45,29,False,4,224,Burmy,"If its cloak is broken in battle, it quickly remakes
the cloak with materials nearby.",29,40,36,45,,Bug,412
105,79,False,4,424,WormadamPlant Cloak,"When Burmy evolved, its cloak became a part of
this Pokémon’s body. The cloak is never shed.",59,60,36,85,Grass,Bug,413
50,94,False,4,424,Mothim,"It flutters around at night and steals honey from
the Combee hive.",94,70,66,50,Flying,Bug,414
42,30,False,4,244,Combee,"It collects and delivers honey to its colony.
At night, they cluster to form a beehive and sleep.",30,30,70,42,Flying,Bug,415
102,80,False,4,474,Vespiquen,"Its abdomen is a honeycomb for grubs. It raises its
grubs on honey collected by Combee.",80,70,40,102,Flying,Bug,416
90,45,False,4,405,Pachirisu,"A pair may be seen rubbing their cheek pouches
together in an effort to share stored electricity.",45,60,95,70,,Electric,417
30,60,False,4,330,Buizel,"It inflates the flotation sac around its neck and
pokes its head out of the water to see what is
going on.",65,55,85,35,,Water,418
50,85,False,4,495,Floatzel,"Its flotation sac developed as a result of pursuing
aquatic prey. It can double as a rubber raft.",105,85,115,55,,Water,419
53,62,False,4,275,Cherubi,"It evolves by sucking the energy out of the small
ball where it had been storing nutrients.",35,45,35,45,,Grass,420
78,87,False,4,450,Cherrim,"If it senses strong sunlight, it opens its folded
petals to absorb the sun’s rays with its whole body.",60,70,85,70,,Grass,421
62,57,False,4,325,Shellos,"While they normally live in the sea, they can
function on land, too, until their skin dries out.",48,76,34,48,,Water,422
82,92,False,4,475,Gastrodon,"Long ago, it had a shell on its back. There’s now
a vestigial plate on its back that’s hard but thin.",83,111,39,68,Ground,Water,423
66,60,False,4,482,Ambipom,"In their search for comfortable trees, they get
into territorial disputes with groups of
Passimian. They win about half the time.",100,75,115,66,,Normal,424
44,60,False,4,348,Drifloon,"Its round body is stuffed with souls and
expands each time it leads someone away.",50,90,70,34,Flying,Ghost,425
54,90,False,4,498,Drifblim,"There’s a rumor that if you catch a Drifblim
floating on the wind at dusk, you’ll be carried
away to the afterlife.",80,150,80,44,Flying,Ghost,426
56,44,False,4,350,Buneary,"Its arms and legs are weak, but when it rolls its
ears up tight and then unleashes them with its
full force, it can smash boulders to dust.",66,55,85,44,,Normal,427
96,54,False,4,480,Lopunny,"Lopunny regrows its coat twice a year. Mufflers
and hats made from its fur are really warm.",76,65,105,84,,Normal,428
105,105,False,4,495,Mismagius,"Feared for its wrath and the curses it spreads,
this Pokémon will also, on a whim, cast spells
that help people.",60,60,105,60,,Ghost,429
52,105,False,4,505,Honchkrow,"It will absolutely not forgive failure from or
betrayal by its goons. It has no choice in this
if it wants to maintain the order of the flock.",125,100,71,52,Flying,Dark,430
37,42,False,4,310,Glameow,"When it’s happy, Glameow demonstrates beautiful
movements of its tail, like a dancing ribbon.",55,49,85,42,,Normal,431
59,64,False,4,452,Purugly,"To make itself appear intimidatingly beefy, it tightly
cinches its waist with its twin tails.",82,71,112,64,,Normal,432
50,65,False,4,285,Chingling,"There is an orb inside its mouth. When it hops,
the orb bounces all over and makes a
ringing sound.",30,45,45,50,,Psychic,433
41,41,False,4,329,Stunky,"It protects itself by spraying a noxious fluid from its
rear. The stench lingers for 24 hours.",63,63,74,47,Dark,Poison,434
61,71,False,4,479,Skuntank,"It sprays a stinky fluid from its tail. The fluid smells
worse the longer it is allowed to fester.",93,103,84,67,Dark,Poison,435
86,24,False,4,300,Bronzor,"Implements shaped like it were discovered in
ancient tombs. It is unknown if they are related.",24,57,23,86,Psychic,Steel,436
116,79,False,4,500,Bronzong,"Ancient people believed that petitioning Bronzong
for rain was the way to make crops grow.",89,67,33,116,Psychic,Steel,437
45,10,False,4,290,Bonsly,"It discharges moisture from its eyes, making it
look like it’s crying—apparently an effective way
of getting enemies to let down their guard.",80,50,10,95,,Rock,438
90,70,False,4,310,Mime Jr.,"It does its absolute best to mimic the
movements and expressions of its opponents,
but it’s still not very good at it.",25,20,60,45,Fairy,Psychic,439
65,15,False,4,220,Happiny,"Usually it’s a well-behaved Pokémon, but if you
take its round rock away, it will cry and fuss
and throw a big old tantrum.",5,100,30,5,,Normal,440
42,92,False,4,411,Chatot,"It can learn and speak human words. If they gather,
they all learn the same saying.",65,76,91,45,Flying,Normal,441
108,92,False,4,485,Spiritomb,"It was bound to a fissure in an odd keystone as
punishment for misdeeds 500 years ago.",92,50,35,108,Dark,Ghost,442
45,40,False,4,300,Gible,"It reacts to anything that moves—flies right at it
and bites it. Sometimes it injures itself, but it
doesn’t care too much.",70,58,42,45,Ground,Dragon,443
55,50,False,4,410,Gabite,"It loves shiny things. When it finds a Sableye
trying to catch a Carbink, Gabite becomes
furiously angry and attacks the Sableye.",90,68,82,65,Ground,Dragon,444
85,80,False,4,600,Garchomp,"It flies at the speed of sound while searching
for prey, and it has midair battles with
Salamence as the two compete for food.",130,108,102,95,Ground,Dragon,445
85,40,False,4,390,Munchlax,"It hides food under its long fur, but it
sometimes forgets about it and causes
a stinky disturbance.",85,135,5,40,,Normal,446
40,35,False,4,285,Riolu,"It knows how people and Pokémon feel by
looking at their auras. It doesn’t approach
dangerous opponents.",70,40,60,40,,Fighting,447
70,115,False,4,525,Lucario,"It concentrates its mental energy and fires off
mysterious waves called auras, which can crush
boulders of large size to dust.",110,70,90,70,Steel,Fighting,448
42,38,False,4,330,Hippopotas,"It enshrouds itself with sand to protect itself from
germs. It does not enjoy getting wet.",72,68,32,78,,Ground,449
72,68,False,4,525,Hippowdon,"It blasts internally stored sand from ports on its
body to create a towering twister for attack.",112,108,47,118,,Ground,450
55,30,False,4,330,Skorupi,"It burrows under the sand to lie in wait for prey.
Its tail claws can inject its prey with a
savage poison.",50,40,65,90,Bug,Poison,451
75,60,False,4,500,Drapion,"It has the power in its clawed arms to make scrap
of a car. The tips of its claws release poison.",90,70,95,110,Dark,Poison,452
40,61,False,4,300,Croagunk,"Inflating its poison sacs, it fills the area with an odd
sound and hits flinching opponents with a
poison jab.",61,48,50,40,Fighting,Poison,453
65,86,False,4,490,Toxicroak,"Its knuckle claws secrete a toxin so vile that even a
scratch could prove fatal.",106,83,85,65,Fighting,Poison,454
72,90,False,4,454,Carnivine,"It binds itself to trees in marshes. It attracts prey
with its sweet-smelling drool and gulps them down.",100,74,46,72,,Grass,455
61,49,False,4,330,Finneon,"When night falls, their pink patterns begin to
shine. They’re popular with divers, so there are
resorts that feed them to keep them close.",49,49,66,56,,Water,456
86,69,False,4,460,Lumineon,"Deep down at the bottom of the ocean, prey is
scarce. Lumineon get into fierce disputes with
Lanturn over food.",69,69,91,76,,Water,457
120,60,False,4,345,Mantyke,"It’s highly friendly and easily tamed. Tours that
take people swimming with Mantyke are a
super-popular beach activity.",20,45,50,50,Flying,Water,458
60,62,False,4,334,Snover,"In the spring, it grows berries with the texture of
frozen treats around its belly.",62,60,40,50,Ice,Grass,459
85,92,False,4,494,Abomasnow,"It lives a quiet life on mountains that are perpetually
covered in snow. It hides itself by whipping
up blizzards.",92,90,60,75,Ice,Grass,460
85,45,False,4,510,Weavile,"One Weavile will trip a Sandshrew and flip it
over, and then another Weavile will deal the
finishing blow with its sharp claws.",120,70,125,65,Ice,Dark,461
90,130,False,4,535,Magnezone,"It uses radar to monitor its territory. Intruders
are quickly disposed of with a hyper beam.",70,70,60,115,Steel,Electric,462
95,80,False,4,515,Lickilicky,"A contest is under way to determine which one
can stick its tongue out the farthest. The
current record is...more than 82 feet.",85,110,50,95,,Normal,463
55,55,False,4,535,Rhyperior,"It puts rocks in holes in its palms and uses its
muscles to shoot them. Geodude are shot at
rare times.",140,115,40,130,Rock,Ground,464
50,110,False,4,535,Tangrowth,"Its vines grow so profusely that, in the warm
season, you can’t even see its eyes.",100,100,50,125,,Grass,465
85,95,False,4,540,Electivire,"It grips its tail, which spews electricity, and
then beats down opponents with the power of
its electrified fist.",123,75,95,67,,Electric,466
95,125,False,4,540,Magmortar,"There are still quite a few factories that rely on
the flames provided by Magmortar to
process metals.",95,75,83,67,,Fire,467
115,120,False,4,545,Togekiss,"It shares many blessings with people who respect
one another’s rights and avoid needless strife.",50,85,80,95,Flying,Fairy,468
56,116,False,4,515,Yanmega,"This six-legged Pokémon is easily capable of
transporting an adult in flight. The wings on its tail
help it stay balanced.",76,86,95,86,Flying,Bug,469
65,60,False,4,525,Leafeon,"Although it doesn’t like disputes, it will sharpen
the leaf on its tail into a blade and fight if it has
to protect its friends.",110,65,95,130,,Grass,470
95,130,False,4,525,Glaceon,"It protects itself by freezing its fur into sharp
needles. It can drop its body temperature below
–75 degrees Fahrenheit.",60,65,65,110,,Ice,471
75,45,False,4,510,Gliscor,"Its flight is soundless. It uses its lengthy tail to
carry off its prey... Then its elongated fangs do
the rest.",95,75,95,125,Flying,Ground,472
60,70,False,4,530,Mamoswine,"Its impressive tusks are made of ice. The population
thinned when it turned warm after the ice age.",130,110,80,80,Ground,Ice,473
75,135,False,4,535,Porygon-Z,"Its behavior is noticeably unstable, which is
apparently due to the incompetence of the
engineer who updated its programming.",80,85,90,70,,Normal,474
115,65,False,4,518,Gallade,"A master of courtesy and swordsmanship, it fights
using extending swords on its elbows.",125,68,80,65,Fighting,Psychic,475
150,75,False,4,525,Probopass,"Although it can control its units known as
Mini-Noses, they sometimes get lost and don’t
come back.",55,60,40,145,Steel,Rock,476
135,65,False,4,525,Dusknoir,"The antenna on its head captures radio waves from
the world of spirits that command it to take
people there.",100,45,45,135,,Ghost,477
70,80,False,4,480,Froslass,"It freezes hikers who have come to climb snowy
mountains and carries them back to its home. It
only goes after men it thinks are handsome.",80,70,110,70,Ghost,Ice,478
77,95,False,4,440,Rotom,"Its body is composed of plasma. It is known to
infiltrate electronic devices and wreak havoc.",50,50,91,77,Ghost,Electric,479
130,75,True,4,580,Uxie,"It is said that its emergence gave humans the
intelligence to improve their quality of life.",75,75,95,130,,Psychic,480
105,105,True,4,580,Mesprit,"It sleeps at the bottom of a lake. Its spirit is said to
leave its body to fly on the lake’s surface.",105,80,80,105,,Psychic,481
70,125,True,4,580,Azelf,"It is thought that Uxie, Mesprit, and Azelf all came
from the same egg.",125,75,115,70,,Psychic,482
100,150,True,4,680,Dialga,"It has the power to control time. It appears in
Sinnoh-region myths as an ancient deity.",120,100,90,120,Dragon,Steel,483
120,150,True,4,680,Palkia,"It has the ability to distort space. It is described as
a deity in Sinnoh-region mythology.",120,90,100,100,Dragon,Water,484
106,130,True,4,600,Heatran,"Boiling blood, like magma, circulates through its
body. It makes its dwelling place in volcanic caves.",90,91,77,106,Steel,Fire,485
110,80,True,4,670,Regigigas,"There is an enduring legend that states this
Pokémon towed continents with ropes.",160,110,100,110,,Normal,486
120,100,True,4,680,GiratinaAltered Forme,"It was banished for its violence. It silently gazed
upon the old world from the Distortion World.",100,150,90,120,Dragon,Ghost,487
130,75,False,4,600,Cresselia,"Those who sleep holding Cresselia’s feather are
assured of joyful dreams. It is said to represent
the crescent moon.",70,120,85,120,,Psychic,488
80,80,False,4,480,Phione,"It drifts in warm seas. It always returns to where it
was born, no matter how far it may have drifted.",80,80,80,80,,Water,489
100,100,False,4,600,Manaphy,"It starts its life with a wondrous power that permits
it to bond with any kind of Pokémon.",100,100,100,100,,Water,490
90,135,True,4,600,Darkrai,"It can lull people to sleep and make them dream.
It is active during nights of the new moon.",90,70,125,90,,Dark,491
100,100,True,4,600,ShayminLand Forme,"The blooming of Gracidea flowers confers the
power of flight upon it. Feelings of gratitude are
the message it delivers.",100,100,100,100,,Grass,492
120,120,True,4,720,Arceus,"It is told in mythology that this Pokémon was born
before the universe even existed.",120,120,120,120,,Normal,493
100,100,True,5,600,Victini,"When it shares the infinite energy it creates,
that being’s entire body will be overflowing
with power.",100,100,100,100,Fire,Psychic,494
55,45,False,5,308,Snivy,"They photosynthesize by bathing their tails in
sunlight. When they are not feeling well, their
tails droop.",45,45,63,55,,Grass,495
75,60,False,5,413,Servine,"When it gets dirty, its leaves can’t be used in
photosynthesis, so it always keeps itself clean.",60,60,83,75,,Grass,496
95,75,False,5,528,Serperior,"It can stop its opponents’ movements with just a
glare. It takes in solar energy and boosts
it internally.",75,75,113,95,,Grass,497
45,45,False,5,308,Tepig,"It loves to eat roasted berries, but sometimes it
gets too excited and burns them to a crisp.",63,65,45,45,,Fire,498
55,70,False,5,418,Pignite,"When its internal fire flares up, its movements grow
sharper and faster. When in trouble, it emits smoke.",93,90,55,55,Fighting,Fire,499
65,100,False,5,528,Emboar,"It has mastered fast and powerful fighting moves.
It grows a beard of fire.",123,110,65,65,Fighting,Fire,500
45,63,False,5,308,Oshawott,"It fights using the scalchop on its stomach.
In response to an attack, it retaliates immediately
by slashing.",55,55,45,45,,Water,501
60,83,False,5,413,Dewott,"As a result of strict training, each Dewott learns
different forms for using the scalchops.",75,75,60,60,,Water,502
70,108,False,5,528,Samurott,"One swing of the sword incorporated in its armor
can fell an opponent. A simple glare from one of
them quiets everybody.",100,95,70,85,,Water,503
39,35,False,5,255,Patrat,"Extremely cautious, one of them will always be on
the lookout, but it won’t notice a foe coming
from behind.",55,45,42,39,,Normal,504
69,60,False,5,420,Watchog,"When they see an enemy, their tails stand high,
and they spit the seeds of berries stored in their
cheek pouches.",85,60,77,69,,Normal,505
45,25,False,5,275,Lillipup,"This Pokémon has excellent judgment.
If it decides it can’t defeat an opponent,
it immediately turns tail and vamooses.",60,45,55,45,,Normal,506
65,35,False,5,370,Herdier,"The longer its black fur grows, the harder and
more impervious it gets. Claws and fangs can’t
easily penetrate it.",80,65,60,65,,Normal,507
90,45,False,5,500,Stoutland,"It pays no mind to the cold, thanks to its long
warm coat. Stoutland in Alola look a
little uncomfortable.",110,85,80,90,,Normal,508
37,50,False,5,281,Purrloin,"They steal from people for fun, but their victims
can’t help but forgive them. Their deceptively cute
act is perfect.",50,41,66,37,,Dark,509
50,88,False,5,446,Liepard,"Stealthily, it sneaks up on its target, striking from
behind before its victim has a chance to react.",88,64,106,50,,Dark,510
48,53,False,5,316,Pansage,"It’s good at finding berries and gathers them from
all over. It’s kind enough to share them
with friends.",53,50,64,48,,Grass,511
63,98,False,5,498,Simisage,"Ill tempered, it fights by swinging its barbed tail
around wildly. The leaf growing on its head is
very bitter.",98,75,101,63,,Grass,512
48,53,False,5,316,Pansear,"This Pokémon lives in caves in volcanoes.
The fire within the tuft on its head can reach
600 degrees Fahrenheit.",53,50,64,48,,Fire,513
63,98,False,5,498,Simisear,"When it gets excited, embers rise from its head
and tail and it gets hot. For some reason, it
loves sweets.",98,75,101,63,,Fire,514
48,53,False,5,316,Panpour,"The water stored inside the tuft on its head is full of
nutrients. Plants that receive its water grow large.",53,50,64,48,,Water,515
63,98,False,5,498,Simipour,"It prefers places with clean water. When its tuft runs
low, it replenishes it by siphoning up water with
its tail.",98,75,101,63,,Water,516
55,67,False,5,292,Munna,"It eats the dreams of people and Pokémon. When it
eats a pleasant dream, it expels pink-colored mist.",25,76,24,45,,Psychic,517
95,107,False,5,487,Musharna,"The dream mist coming from its forehead changes
into many different colors depending on the dream
that was eaten.",55,116,29,85,,Psychic,518
30,36,False,5,264,Pidove,"These Pokémon live in cities. They are accustomed
to people. Flocks often gather in parks and plazas.",55,50,43,50,Flying,Normal,519
42,50,False,5,358,Tranquill,"No matter where in the world it goes, it knows
where its nest is, so it never gets separated from
its Trainer.",77,62,65,62,Flying,Normal,520
55,65,False,5,488,Unfezant,"Males have plumage on their heads. They will never
let themselves feel close to anyone other than
their Trainers.",115,80,93,80,Flying,Normal,521
32,50,False,5,295,Blitzle,"Its mane shines when it discharges electricity.
They use the frequency and rhythm of these flashes
to communicate.",60,45,76,32,,Electric,522
63,80,False,5,497,Zebstrika,"They have lightning-like movements.
When Zebstrika run at full speed, the sound of
thunder reverberates.",100,75,116,63,,Electric,523
25,25,False,5,280,Roggenrola,"The hexagonal hole is its ear. Deep in that ear is
an energy core, so if you stick your hand in
there, Roggenrola will be very angry!",75,55,15,85,,Rock,524
40,50,False,5,390,Boldore,"The energy overflowing from its body has
turned into orange crystals that are hard
enough to smash diamonds.",105,70,20,105,,Rock,525
80,60,False,5,515,Gigalith,"When it fires off energy with all its might, the
power creates countless fissures on its body.",135,85,25,130,,Rock,526
43,55,False,5,313,Woobat,"The heart-shaped mark left on a body after a
Woobat has been attached to it is said to bring
good fortune.",45,55,72,43,Flying,Psychic,527
55,77,False,5,425,Swoobat,"Anyone who comes into contact with the ultrasonic
waves emitted by a courting male experiences a
positive mood shift.",57,67,114,55,Flying,Psychic,528
45,30,False,5,328,Drilbur,"By spinning its body, it can dig straight through the
ground at a speed of 30 mph.",85,60,68,40,,Ground,529
65,50,False,5,508,Excadrill,"More than 300 feet below the surface, they build
mazelike nests. Their activity can be destructive to
subway tunnels.",135,110,88,60,Steel,Ground,530
86,60,False,5,445,Audino,"It touches others with the feelers on its ears, using
the sound of their heartbeats to tell how they
are feeling.",60,103,50,86,,Normal,531
35,25,False,5,305,Timburr,"Always carrying squared logs, they help out with
construction. As they grow, they carry bigger logs.",80,75,35,55,,Fighting,532
50,40,False,5,405,Gurdurr,"This Pokémon is so muscular and strongly built that
even a group of wrestlers could not make it budge
an inch.",105,85,40,85,,Fighting,533
65,55,False,5,505,Conkeldurr,"Rather than rely on force, they master moves that
utilize the centrifugal force of spinning concrete.",140,105,45,95,,Fighting,534
40,50,False,5,294,Tympole,"By vibrating its cheeks, it emits sound waves
imperceptible to humans. It uses the rhythm of
these sounds to talk.",50,50,64,40,,Water,535
55,65,False,5,384,Palpitoad,"It lives in the water and on land. It uses its long,
sticky tongue to immobilize its opponents.",65,75,69,55,Ground,Water,536
75,85,False,5,509,Seismitoad,"They shoot paralyzing liquid from their head bumps.
They use vibration to hurt their opponents.",95,105,74,75,Ground,Water,537
85,30,False,5,465,Throh,"When it encounters a foe bigger than itself, it wants
to throw it. It changes belts as it gets stronger.",100,120,45,85,,Fighting,538
75,30,False,5,465,Sawk,"Tying their belts gets them pumped and makes their
punches more destructive. Disturbing their training
angers them.",125,75,85,75,,Fighting,539
60,40,False,5,310,Sewaddle,"Since this Pokémon makes its own clothes out of
leaves, it is a popular mascot for fashion designers.",53,45,42,70,Grass,Bug,540
80,50,False,5,380,Swadloon,"It protects itself from the cold by wrapping up in
leaves. It stays on the move, eating leaves
in forests.",63,55,42,90,Grass,Bug,541
80,70,False,5,500,Leavanny,"It keeps its eggs warm with heat from fermenting
leaves. It also uses leaves to make warm wrappings
for Sewaddle.",103,75,92,80,Grass,Bug,542
39,30,False,5,260,Venipede,"Its bite injects a potent poison, enough to paralyze
large bird Pokémon that try to prey on it.",45,30,57,59,Poison,Bug,543
79,40,False,5,360,Whirlipede,"It is usually motionless, but when attacked,
it rotates at high speed and then crashes into
its opponent.",55,40,47,99,Poison,Bug,544
69,55,False,5,485,Scolipede,"With quick movements, it chases down its foes,
attacking relentlessly with its horns until it prevails.",100,60,112,89,Poison,Bug,545
50,37,False,5,280,Cottonee,"To protect itself, it shoots cotton from its body.
When it gets wet in the rain, its cotton grows
moist and heavy, and it can’t move as well.",27,40,66,60,Fairy,Grass,546
75,77,False,5,480,Whimsicott,"This nuisance sneaks into people’s homes,
where it hides important things and scatters
cotton all over the place.",67,60,116,85,Fairy,Grass,547
50,70,False,5,280,Petilil,"Some say if you dry the leaves on its head, boil
them down, and drink the infusion, your vigor
will return, so Petilil is popular with the elderly.",35,45,30,50,,Grass,548
75,110,False,5,480,Lilligant,"The fragrance of its flower differs slightly
depending on the soil where it grew up.
Sniffing the aroma calms your heart and mind.",60,70,90,75,,Grass,549
55,80,False,5,460,Basculin,"Savage, violent Pokémon, red and blue Basculin
are always fighting each other over territory.",92,70,98,65,,Water,550
35,35,False,5,292,Sandile,"Alola, where it’s warm all year round, is a
comfortable environment for this Pokémon.
Sometimes you’ll even see it outside of deserts.",72,50,65,35,Dark,Ground,551
